f465b89,Frost199,33 hours ago,feat: Add github build
3e773a9,Eleam Emmanuel,34 hours ago,build: Setup github workflow
ec0a585,Anthony Anonde,34 hours ago,Merge pull request #29 from MichaelOlatunji/docker
989a770,Michael Olatunji,34 hours ago,Merge branch 'develop' into docker
64da76d,Michael Olatunji,34 hours ago,Adding run_docker shell script
c5f46b8,Frost199,34 hours ago,cleanup project files
0258f6e,sjdammy,34 hours ago,Merge branch 'develop' of https://github.com/hngi/Team-Incredible-BE into homepage
575dba1,sjdammy,34 hours ago,added the about section and footer section
fc0e1bb,Anthony Anonde,34 hours ago,Merge pull request #26 from Myspheet/confirmPasswords
018ce02,Michael Olatunji,35 hours ago,Merge branch 'develop' into docker
e1ed7dd,Michael Olatunji,35 hours ago,about build docker image on aws ec2 instance
bdee0f7,Myspheet,35 hours ago,Merge branch 'develop' into confirmPasswords
80a1a0f,Seweje Damilola John,35 hours ago,Merge pull request #14 from kyle2f/patch-3
e5c8024,sjdammy,35 hours ago,refoactored hero section
bdbf8ab,Anthony Anonde,35 hours ago,Merge pull request #27 from thebolarin/dev
555af63,kyle2f,2 days ago,Added footer to index.ejs file
12cd3ba,tonymj76,2 days ago,components
8d8c642,tonymj76,2 days ago,register page
548090b,tonymj76,2 days ago,login page
5f248e5,tonymj76,2 days ago,about
0237c35,tonymj76,2 days ago,index page
c57a62b,tonymj76,2 days ago,house keeping
1236398,tonymj76,2 days ago,hot fix
594db10,tonymj76,2 days ago,add pages route
8b74dc2,Seweje Damilola John,2 days ago,Merge pull request #12 from programmerjide/homepage
72c3f7d,Oladejo Olajide,2 days ago,Feat: added hero section in index.ejs and index.css with hero-image.png
9f4e6ac,Michael Olatunji,2 days ago,modifiying dockerfile and adding gitignore
38b9406,Michael Olatunji,2 days ago,Adding Dockerfile
996b150,thebolarin,2 days ago,More test cases
083cae7,thebolarin,2 days ago,More test cases
30d8a42,sjdammy,2 days ago,refactored navbar view
3d58008,Myspheet,2 days ago,Added validation for the signup page
